,year,month,day,hour,consumption,production,selfConsumption
2024-02-14 00:00:00+01:00,2024,2,14,0,2058.94,0.0,0.0
2024-02-14 01:00:00+01:00,2024,2,14,1,2267.63,0.0,0.0
2024-02-14 02:00:00+01:00,2024,2,14,2,2858.3,0.0,0.0
2024-02-14 03:00:00+01:00,2024,2,14,3,2274.88,0.0,0.0
2024-02-14 04:00:00+01:00,2024,2,14,4,2056.57,0.0,0.0
2024-02-14 05:00:00+01:00,2024,2,14,5,2211.41,0.0,0.0
2024-02-14 06:00:00+01:00,2024,2,14,6,1914.09,0.0,0.0
2024-02-14 07:00:00+01:00,2024,2,14,7,2340.7,64.41,53.19
2024-02-14 08:00:00+01:00,2024,2,14,8,3023.47,296.52,284.51
2024-02-14 09:00:00+01:00,2024,2,14,9,2254.04,510.72,465.96
2024-02-14 10:00:00+01:00,2024,2,14,10,1406.62,1641.0,827.17
2024-02-14 11:00:00+01:00,2024,2,14,11,1460.31,2520.7,1140.61
2024-02-14 12:00:00+01:00,2024,2,14,12,725.73,4113.33,600.03
2024-02-14 13:00:00+01:00,2024,2,14,13,1103.81,3052.62,1007.56
2024-02-14 14:00:00+01:00,2024,2,14,14,1123.88,1754.21,903.84
2024-02-14 15:00:00+01:00,2024,2,14,15,1331.81,962.62,759.99
2024-02-14 16:00:00+01:00,2024,2,14,16,1784.22,313.0,311.92
2024-02-14 17:00:00+01:00,2024,2,14,17,2973.07,44.98,44.98
2024-02-14 18:00:00+01:00,2024,2,14,18,2877.07,0.0,0.0
2024-02-14 19:00:00+01:00,2024,2,14,19,1682.94,0.0,0.0
2024-02-14 20:00:00+01:00,2024,2,14,20,2364.66,0.0,0.0
2024-02-14 21:00:00+01:00,2024,2,14,21,1536.62,0.0,0.0
2024-02-14 22:00:00+01:00,2024,2,14,22,1741.09,0.0,0.0
2024-02-14 23:00:00+01:00,2024,2,14,23,1911.41,0.0,0.0
2024-02-15 00:00:00+01:00,2024,2,15,0,2007.97,0.0,0.0
2024-02-15 01:00:00+01:00,2024,2,15,1,2042.4,0.0,0.0
